date,productId,тип,что_изменили,автор,примечание
2026-08-03,2663965,акция,Акция: 01.06-09.06 Летняя распродажа неделя 3/Yozgi chegirmalar haf → 27.07-04.08 Чилля неделя 5/Chilla hafta 5,авто,замечено автоматически по логу
2026-08-01,2657904,характеристики,Характеристики заполнены: все заполнены → заполнены не все,авто,замечено автоматически по логу
2026-07-31,2885187,описание,добавил множество ключей,Виталий,добавил свалку из ключей на 2х языках
2026-07-31,2657904,описание,добавил множество ключей,Виталий,добавил свалку из ключей на 2х языках
2026-07-31,2661453,описание,добавил множество ключей,Виталий,добавил свалку из ключей на 2х языках
2026-07-31,2663193,цена,"Цена, сум: 57000 → 53000",авто,замечено автоматически по логу
2026-07-31,2846160,цена,"Цена, сум: 47000 → 40000",авто,замечено автоматически по логу
2026-07-31,2846118,цена,"Цена, сум: 115000 → 105000",авто,замечено автоматически по логу
2026-07-31,2885187,цена,"Цена, сум: 63000 → 60000",авто,замечено автоматически по логу
2026-07-31,2845895,цена,"Цена, сум: 55000 → 65000",авто,замечено автоматически по логу
2026-07-31,2661858,цена,"Цена, сум: 70000 → 60000",авто,замечено автоматически по логу
2026-07-31,2657904,цена,"Цена, сум: 35500 → 30000",авто,замечено автоматически по логу
2026-07-31,2661453,цена,"Цена, сум: 45000 → 40000",авто,замечено автоматически по логу
2026-07-31,2659219,цена,"Цена, сум: 37500 → 33000",авто,замечено автоматически по логу
2026-07-31,2885239,цена,"Цена, сум: 200000 → 180000",авто,замечено автоматически по логу
2026-07-31,2843158,цена,"Цена, сум: 47000 → 43000",авто,замечено автоматически по логу
2026-07-30,2842983,цена,"изменил цену в акции, снизил до 85000 (105000 → 85000)",Виталий,Изменил цену внутри акции чилля недели
2026-07-30,2844006,цена,"изменил цену в акции, снизил до 32000 (35000 → 32000)",Виталий,Изменил цену внутри акции чилля недели
2026-07-30,2846046,цена,"изменил цену в акции, снизил до 55000 (62000 → 55000)",Виталий,Изменил цену внутри акции чилля недели
2026-07-30,2846266,цена,"изменил цену в акции, снизил до 35000 (45000 → 35000)",Виталий,Изменил цену внутри акции чилля недели
2026-07-30,2845985,цена,"изменил цену в акции, снизил до 63000 (75000 → 63000)",Виталий,Изменил цену внутри акции чилля недели
2026-07-30,2845895,реклама,запустил данный товар во внешнюю рекламу (65000 → 65000),Виталий,внешняя реклама через UGC креатора
2026-07-30,2847387,характеристики,Обязательные характеристики: заполнены не все → все заполнены,авто,замечено автоматически по логу
