date,productId,units,revenue,profit,orders,canceled
2026-06-16,2658806,0,0,0,0,1
2026-06-16,2663965,1,90000,61000,1,0
2026-06-17,2663965,1,90000,61000,1,0
2026-06-18,2658091,1,60000,39750,1,0
2026-06-18,2658502,2,59400,37020,2,0
2026-06-18,2658806,1,38500,23625,1,0
2026-06-18,2662882,1,510000,399500,1,1
2026-06-18,2667399,1,28000,17150,1,0
2026-06-18,2828345,0,0,0,0,1
2026-06-18,2847586,1,46000,31550,1,0
2026-06-19,2658308,3,94000,65090,3,0
2026-06-19,2658502,3,89100,55530,3,0
2026-06-19,2658806,2,77000,47250,2,0
2026-06-19,2659219,1,33500,19625,1,0
2026-06-19,2663965,1,90000,61000,1,0
2026-06-19,2667399,2,81000,54300,2,0
2026-06-19,2845895,2,110000,79150,1,0
2026-06-19,2847309,1,21200,11710,1,0
2026-06-19,2847586,1,17820,9006,1,0
2026-06-20,2658502,1,29700,18510,1,0
2026-06-20,2658806,2,77000,47250,2,0
2026-06-20,2663965,3,270000,183000,3,0
2026-06-20,2667399,1,95000,70250,1,0
2026-06-20,2843053,1,71100,51130,1,0
2026-06-20,2843128,2,54000,32700,2,0
2026-06-20,2843463,1,75500,52890,1,0
2026-06-20,2844104,2,116600,73618,2,0
2026-06-20,2847586,2,62360,39388,2,0
2026-06-21,2658308,0,0,0,0,1
2026-06-21,2658502,2,59400,37020,2,0
2026-06-21,2658806,1,38500,23625,1,0
2026-06-21,2663965,1,90000,61000,1,0
2026-06-21,2667399,3,109000,71200,3,0
2026-06-21,2843255,0,0,0,0,1
2026-06-21,2847309,2,42400,23420,2,0
2026-06-21,2847468,0,0,0,0,1
2026-06-21,2847586,2,35640,18012,1,1
2026-06-22,2658308,11,90000,19650,4,2
2026-06-22,2658502,4,139400,90520,4,0
2026-06-22,2658806,0,0,0,0,1
2026-06-22,2843255,1,125500,86365,1,0
2026-06-22,2846046,1,64300,46190,1,0
2026-06-22,2847309,2,49200,28860,2,0
2026-06-22,2847586,2,35820,18156,2,0
2026-06-23,2658502,1,29700,18510,1,0
2026-06-23,2843053,1,67300,48090,1,0
2026-06-23,2843402,1,55500,39150,1,0
2026-06-23,2844006,1,35500,21375,1,0
2026-06-23,2845956,1,51100,37935,1,0
2026-06-23,2846118,1,110000,88000,1,0
2026-06-23,2847309,3,75000,44250,3,0
2026-06-23,2847586,4,83000,45400,4,0
2026-06-24,2658806,1,57000,37500,1,0
2026-06-24,2843128,1,25500,15150,1,0
2026-06-24,2847242,1,63100,43980,1,0
2026-06-24,2847309,0,0,0,0,1
2026-06-24,2847586,5,113500,64550,5,0
2026-06-25,2658502,1,45100,30830,1,0
2026-06-25,2663965,1,91000,61800,1,0
2026-06-25,2667097,1,112500,82000,1,0
2026-06-25,2843128,1,25500,15150,1,0
2026-06-25,2845895,1,61100,44547,1,0
2026-06-25,2847309,1,25000,14750,1,0
2026-06-25,2847586,4,96500,56200,4,1
2026-06-26,2658308,1,31100,21496,1,0
2026-06-26,2658502,4,134200,86360,4,0
2026-06-26,2662882,1,415000,323750,1,0
2026-06-26,2663965,1,91000,61800,1,0
2026-06-26,2667399,2,157000,114100,1,0
2026-06-26,2843128,2,51000,30300,1,0
2026-06-26,2844104,1,52800,32794,1,0
2026-06-26,2845895,2,122200,89094,2,0
2026-06-26,2845956,2,102200,75870,2,0
2026-06-26,2846266,1,45500,30900,1,0
2026-06-26,2847309,2,50000,29500,2,0
2026-06-26,2847586,7,248000,161650,6,1
2026-06-27,2662882,1,515000,403500,1,0
2026-06-27,2663965,1,91000,61800,1,1
2026-06-27,2667097,1,93500,66800,1,0
2026-06-27,2667399,2,131500,93950,2,0
2026-06-27,2843128,1,25500,15150,1,0
2026-06-27,2847309,8,205000,122000,6,0
2026-06-27,2847586,9,183500,99550,9,1
2026-06-28,2658502,2,59400,37020,2,0
2026-06-28,2658806,3,171000,112500,3,0
2026-06-28,2663965,1,91000,61800,1,0
2026-06-28,2843053,1,67300,48090,1,0
2026-06-28,2843128,1,25500,14900,1,0
